Respondent_ID,Citizenship,Gender,Study_Country,Institution_Public,Student_Status,Study_Level,Field_of_Study,Learning_Method,Job_Confidence
5630,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Blended (Hybrid),Very confident
5631,Ecuador,Male,Ecuador,Yes,Part-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Extremely confident
5632,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Very confident
5634,Ecuador,Female,Ecuador,Yes,Part-time,Undergraduate (Bachelor's),Natural and Life Sciences,Blended (Hybrid),Extremely confident
5635,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Moderately confident
5636,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
5637,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5640,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Slightly confident
5641,Ecuador,Male,Ecuador,N/A,N/A,N/A,N/A,N/A,Moderately confident
5642,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Moderately confident
5643,Ecuador,Male,Ecuador,Yes,Part-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Moderately confident
5644,Ecuador,Male,Ecuador,N/A,N/A,N/A,Arts and Humanities,Blended (Hybrid),Slightly confident
5645,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5646,Ecuador,Male,Ecuador,Yes,Part-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
5647,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5648,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Slightly confident
5649,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Very confident
5650,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5651,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Very confident
5652,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
5654,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Blended (Hybrid),Moderately confident
5655,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Very confident
5656,Ecuador,Female,Ecuador,Yes,Part-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
5657,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Very confident
5658,Ecuador,Female,Ecuador,Yes,Part-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
5659,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Slightly confident
5660,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Very confident
5661,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
5662,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
5665,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Extremely confident
5666,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
5667,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
5669,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
5671,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
5672,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
5675,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5677,Ecuador,Male,Ecuador,Yes,Part-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Moderately confident
5678,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Moderately confident
5679,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Blended (Hybrid),Moderately confident
5680,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Slightly confident
5681,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Very confident
5682,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Slightly confident
5683,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Very confident
5684,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Very confident
5685,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Moderately confident
5686,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Moderately confident
5687,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
5688,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Very confident
5689,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
5690,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Moderately confident
5692,Ecuador,Male,Ecuador,Yes,Part-time,Undergraduate (Bachelor's),Natural and Life Sciences,Online,Very confident
5693,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Moderately confident
5694,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Very confident
5695,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Very confident
5696,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
5698,Ecuador,Male,Ecuador,No,Part-time,Doctoral degree,Social Sciences,Traditional (Classroom),Moderately confident
5699,Ecuador,Female,Ecuador,Yes,Part-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Moderately confident
5700,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Moderately confident
5702,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
5704,Ecuador,Male,Ecuador,Yes,Part-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5705,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Moderately confident
5706,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
5707,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
5708,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5709,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Extremely confident
5710,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
5711,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
5712,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Very confident
5713,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5714,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5715,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Moderately confident
5716,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Extremely confident
5717,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
5719,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
5721,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5722,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
5723,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Slightly confident
5724,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Very confident
5726,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Slightly confident
5727,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
5728,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
5729,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5730,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
5731,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Moderately confident
5732,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Very confident
5733,Ecuador,Prefer not to say,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
5734,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
5735,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Very confident
5736,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
5737,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Blended (Hybrid),Very confident
5739,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Moderately confident
5740,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
5741,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Very confident
5742,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Moderately confident
5743,Ecuador,Male,Ecuador,Yes,Full-time,N/A,Natural and Life Sciences,Online,Very confident
5744,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
5746,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),N/A,Traditional (Classroom),Moderately confident
5747,Ecuador,Prefer not to say,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Very confident
5748,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Moderately confident
5749,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
5750,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Moderately confident
5751,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Very confident
5752,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Extremely confident
5753,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Blended (Hybrid),Very confident
5754,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Very confident
5755,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5756,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Extremely confident
5757,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
5758,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Blended (Hybrid),Moderately confident
5759,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Online,Moderately confident
5760,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Blended (Hybrid),Moderately confident
5761,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Slightly confident
5762,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Blended (Hybrid),Slightly confident
5763,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Moderately confident
5764,Ecuador,Prefer not to say,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5765,Ecuador,N/A,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Moderately confident
5767,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Extremely confident
5768,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Slightly confident
5769,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Very confident
5770,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Online,Moderately confident
5771,Ecuador,Female,Ecuador,Yes,Part-time,Undergraduate (Bachelor's),Natural and Life Sciences,Blended (Hybrid),Moderately confident
5772,Ecuador,Female,Ecuador,Yes,Part-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Slightly confident
5773,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5774,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Blended (Hybrid),Extremely confident
5775,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Not at all confident
5776,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
5777,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
5778,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
5779,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
5780,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Moderately confident
5782,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Moderately confident
5783,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
5784,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Blended (Hybrid),Very confident
5785,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5786,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Very confident
5787,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Blended (Hybrid),Moderately confident
5788,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
5789,Ecuador,Female,Ecuador,Yes,Part-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
5790,Ecuador,Male,Ecuador,Yes,Part-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
5791,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
5792,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
5793,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
5794,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5795,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5797,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Moderately confident
5799,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Moderately confident
5800,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
5801,Ecuador,Male,Ecuador,No,Part-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5802,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
5803,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Slightly confident
5804,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Very confident
5805,Ecuador,Male,Ecuador,Yes,Part-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
5807,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Moderately confident
5808,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Moderately confident
5809,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
5810,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Moderately confident
5811,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Very confident
5813,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Blended (Hybrid),Moderately confident
5814,Ecuador,Female,Ecuador,No,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Moderately confident
5815,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Very confident
5816,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Very confident
5817,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
5818,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5819,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5820,Ecuador,Male,Ecuador,Yes,Part-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Very confident
5821,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Blended (Hybrid),Moderately confident
5823,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5824,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Moderately confident
5825,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5826,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Very confident
5827,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
5828,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
5829,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Very confident
5830,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
5831,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
5833,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Moderately confident
5834,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Extremely confident
5836,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Slightly confident
5837,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
5838,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
5839,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5840,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Very confident
5841,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
5842,Ecuador,Male,Ecuador,Yes,Part-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5845,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Slightly confident
5846,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
5847,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Very confident
5848,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5849,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Extremely confident
5850,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Very confident
5851,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
5852,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
5854,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Slightly confident
5855,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5856,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5857,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Moderately confident
5859,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Moderately confident
5861,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Slightly confident
5862,Ecuador,Male,Ecuador,Yes,Part-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Moderately confident
5863,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Moderately confident
5865,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Blended (Hybrid),Moderately confident
5866,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Blended (Hybrid),Moderately confident
5867,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
5868,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Extremely confident
5869,Ecuador,Female,Ecuador,No,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5870,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5872,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5873,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Very confident
5874,Ecuador,Female,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Moderately confident
5875,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
5876,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
5878,Ecuador,Male,Ecuador,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
